#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-29T15:01:58 [V7.32.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-08-29T15:01:58	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#Vmag=<=8
#-out=B-V
#HIPep=HIPep
#Erratum=Erratum
#-out=_RA.icrs
#_RA.icrs=!null
#-out=_DE.icrs
#_DE.icrs=!null
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.4	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	HIP	Vmag	B-V	_RA.icrs	_DE.icrs
deg	deg	 	mag	mag	deg	deg
--------------	--------------	------	-----	------	------------	------------
000.0050243058	+38.8592790071	     3	 6.61	-0.019	000.00502431	+38.85927901
000.0373364290	+46.9399966303	    11	 7.34	 0.081	000.03733643	+46.93999663
000.0484219798	-00.3604495546	    14	 7.25	 1.200	000.04842198	-00.36044955
000.0533092167	+38.3040497315	    19	 6.53	 0.955	000.05330922	+38.30404973
000.0663875981	+08.0072338353	    21	 7.55	 1.438	000.06638760	+08.00723384
000.0745645488	+13.3122342848	    23	 7.57	 0.456	000.07456455	+13.31223428
000.0795635338	-44.2905614654	    25	 6.28	 0.763	000.07956353	-44.29056147
000.0980820259	+02.6754771939	    31	 7.63	 1.453	000.09808203	+02.67547719
000.0995847627	+26.9181082481	    34	 6.43	 0.514	000.09958476	+26.91810825
000.1033991460	+12.2671277140	    36	 7.68	 1.150	000.10339915	+12.26712771
000.1122921521	-16.6970092898	    39	 7.46	 0.475	000.11229215	-16.69700929
000.1287023299	+59.5596793560	    43	 6.18	 1.032	000.12870233	+59.55967936
000.1327493241	-03.3063227539	    44	 7.91	 1.104	000.13274932	-03.30632275
000.1352357185	-40.6904740567	    48	 7.31	 1.164	000.13523572	-40.69047406
000.1430850464	-53.0977126448	    50	 6.49	 0.616	000.14308505	-53.09771264
000.1588334161	-66.6831734054	    55	 7.40	 0.551	000.15883342	-66.68317341
000.1735189270	+62.1758981384	    58	 7.05	 0.520	000.17351893	+62.17589814
000.1818095066	+45.2533335847	    63	 6.36	-0.047	000.18180951	+45.25333358
000.1993427070	+23.5382187125	    67	 7.83	 0.495	000.19934271	+23.53821871
000.2203287297	+66.8480110818	    73	 6.90	 1.446	000.22032873	+66.84801108
000.2232728863	-50.4464587777	    75	 7.42	 1.524	000.22327289	-50.44645878
000.2614964296	-05.8350022074	    87	 7.80	 0.430	000.26149643	-05.83500221
000.2690934424	-48.8098755962	    88	 5.71	 0.911	000.26909344	-48.80987560
000.2771545370	+53.1669426029	    89	 7.87	 1.566	000.27715454	+53.16694260
000.2800818283	-41.8875439075	    90	 7.64	 0.500	000.28008183	-41.88754391
000.2805308174	-05.8743477321	    91	 7.66	 1.300	000.28053082	-05.87434773
000.3160632268	+60.3552822057	    99	 7.04	 2.835	000.31606323	+60.35528221
000.3204875805	-41.4874373910	   102	 7.05	 1.550	000.32048758	-41.48743739
000.3278079299	+70.9289378451	   105	 7.73	 0.455	000.32780793	+70.92893785
000.3302148739	+49.9815578121	   106	 6.22	 0.970	000.33021487	+49.98155781
000.3338302112	-50.3373733304	   107	 5.53	 1.615	000.33383021	-50.33737333
